,x_tbl,x_dfy,x_tms,x_svar,x_ill,x_infl,x_dy,x_lev,x_ep,x_ni,x_rf
1987/7/31,0.108333333,0.279166667,0.8375,0.875,0.741666667,0.283333333,0.041666667,0.041666667,0.041666667,0.366666667,0.46
1987/8/31,0.108333333,0.325,0.825,0.866666667,0.833333333,0.308333333,0.025,0.016666667,0.025,0.391666667,0.47
1987/9/30,0.108333333,0.295833333,0.891666667,0.8,0.891666667,0.35,0.016666667,0.008333333,0.008333333,0.358333333,0.45
1987/10/31,0.125,0.233333333,0.875,0.825,0.941666667,0.408333333,0.008333333,0.008333333,0.008333333,0.208333333,0.6
1987/11/30,0.191666667,0.229166667,0.908333333,0.758333333,0.833333333,0.4,0.025,0.016666667,0.016666667,0.225,0.35
1987/12/31,0.15,0.191666667,0.8,1,0.041666667,0.466666667,0.183333333,0.608333333,0.175,0.633333333,0.39
1988/1/31,0.104166667,0.35,0.925,1,0.016666667,0.483333333,0.275,0.875,0.2,0.641666667,0.29
1988/2/29,0.116666667,0.25,0.883333333,1,0.008333333,0.458333333,0.2,0.641666667,0.183333333,0.575,0.46
1988/3/31,0.125,0.283333333,0.633333333,1,0.008333333,0.383333333,0.175,0.55,0.191666667,0.116666667,0.44
1988/4/30,0.0875,0.345833333,0.666666667,1,0.008333333,0.358333333,0.166666667,0.366666667,0.191666667,0.108333333,0.46
1988/5/31,0.125,0.229166667,0.841666667,0.991666667,0.008333333,0.35,0.183333333,0.483333333,0.2,0.15,0.51
1988/6/30,0.158333333,0.354166667,0.8625,0.975,0.041666667,0.383333333,0.225,0.608333333,0.241666667,0.058333333,0.49
1988/7/31,0.208333333,0.191666667,0.808333333,0.975,0.033333333,0.383333333,0.241666667,0.616666667,0.25,0.058333333,0.51
1988/8/31,0.225,0.1875,0.595833333,1,0.033333333,0.375,0.2,0.425,0.208333333,0.075,0.59
1988/9/30,0.241666667,0.191666667,0.6,1,0.033333333,0.433333333,0.208333333,0.683333333,0.35,0.008333333,0.62
1988/10/31,0.2625,0.1125,0.5125,0.991666667,0.025,0.425,0.266666667,0.783333333,0.391666667,0.008333333,0.61
1988/11/30,0.3375,0.075,0.383333333,0.958333333,0.041666667,0.458333333,0.216666667,0.675,0.358333333,0.016666667,0.57
1988/12/31,0.35,0.05,0.325,0.9,0.325,0.466666667,0.208333333,0.683333333,0.366666667,0.008333333,0.63
1989/1/31,0.379166667,0.066666667,0.308333333,0.883333333,0.25,0.466666667,0.258333333,0.75,0.425,0.008333333,0.55
1989/2/28,0.445833333,0.070833333,0.275,0.791666667,0.4,0.575,0.241666667,0.7,0.416666667,0.016666667,0.61
1989/3/31,0.4875,0.054166667,0.25,0.525,0.6,0.591666667,0.175,0.483333333,0.341666667,0.016666667,0.67
1989/4/30,0.516666667,0.0375,0.258333333,0.483333333,0.675,0.616666667,0.208333333,0.641666667,0.375,0.041666667,0.67
1989/5/31,0.575,0.008333333,0.216666667,0.458333333,0.741666667,0.633333333,0.2,0.525,0.358333333,0.041666667,0.79
1989/6/30,0.55,0.008333333,0.216666667,0.35,0.666666667,0.666666667,0.333333333,0.65,0.333333333,0.058333333,0.71
1989/7/31,0.508333333,0.025,0.2,0.316666667,0.833333333,0.675,0.258333333,0.466666667,0.308333333,0.083333333,0.7
1989/8/31,0.466666667,0.041666667,0.175,0.216666667,0.808333333,0.675,0.3,0.558333333,0.325,0.066666667,0.74
1989/9/30,0.4,0.05,0.183333333,0.15,0.808333333,0.675,0.175,0.333333333,0.233333333,0.133333333,0.65
1989/10/31,0.408333333,0.041666667,0.208333333,0.141666667,0.741666667,0.616666667,0.141666667,0.308333333,0.208333333,0.141666667,0.68
